AYWT,WTP,Woitape Airport,Fatima Mission,Central Province,PG,5200.0,-8.5458333333,147.2525,Pacific/Port_Moresby,
AYWU,WUG,Wau Airport,Wau,Morobe,PG,3600.0,-7.3455555556,146.718611111,Pacific/Port_Moresby,
BGAA,JEG,Aasiaat Airport,Aasiaat,Qaasuitsup,GL,74.0,68.7218017578,-52.7846984863,America/Nuuk,
BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,Kujalleq,GL,112.0,61.1604995728,-45.4259986877,America/Nuuk,
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Sermersooq,GL,45.0,70.7431030273,-22.6504993439,America/Scoresbysund,
BGGH,GOH,Godthaab / Nuuk Airport,Nuuk,,GL,283.0,64.19090271,-51.6781005859,America/Nuuk,
BGJN,JAV,Ilulissat Airport,Ilulissat,,GL,95.0,69.2432022095,-51.0570983887,America/Nuuk,
BGKK,KUS,Kulusuk Airport,Kulusuk,Sermersooq,GL,117.0,65.573600769,-37.1236000061,America/Nuuk,
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,,GL,91.0,65.4124984741,-52.9393997192,America/Nuuk,
BGPT,JFR,Paamiut Airport,Paamiut,,GL,120.0,62.0147361755,-49.6709365845,America/Nuuk,
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,,GL,51.0,77.4886016846,-69.3887023926,America/Thule,
BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,Qeqqata,GL,165.0,67.0122218992,-50.7116031647,America/Nuuk,
BGSS,JHS,Sisimiut Airport,Sisimiut,,GL,33.0,66.9513015747,-53.7293014526,America/Nuuk,
BGTL,THU,Thule Air Base,Thule,Qaasuitsup,GL,251.0,76.5311965942,-68.7032012939,America/Thule,
BGUK,JUV,Upernavik Airport,Upernavik,,GL,414.0,72.7901992798,-56.1305999756,America/Nuuk,
BGUQ,JQA,Qaarsut Airport,Uummannaq,,GL,289.0,70.7341995239,-52.6962013245,America/Nuuk,
BIAR,AEY,Akureyri Airport,Akureyri,Northeast,IS,6.0,65.6600036621,-18.0727005005,Atlantic/Reykjavik,
BIBD,BIU,Bildudalur Airport,Bildudalur,Westfjords,IS,18.0,65.6412963867,-23.5461997986,Atlantic/Reykjavik,
BIBF,BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,East,IS,80.0,65.5164031982,-13.8050003052,Atlantic/Reykjavik,
